title,worldwide_gross,runtime,budget,imdb_rating,score_error,normal_error,score_mean,normal_mean,score_median,normal_median,score_skew,normal_skew,score_std,normal_std,movie_id,date,user_score,vote_count_x,popularity_x,movie_id,date,themoviedb_rating,vote_count_y,popularity_y,movie_id,date,themoviedb_rating,vote_count,popularity
Iron Man 2,623933331,124,200000000,7.0,3.300981782964208,0.009691855846370086,3.777613476537662,0.006925161235437203,2.3096902578422607,0.0077704251368722835,0.8648003454889155,-0.09560232677834633,6.601963565928416,0.019383711692740172,10138,2010-04-28,6.8,13525,24.616,10138,2010-04-28,6.8,13525,24.616,10138,2010-04-28,6.8,13525,24.616
Guardians of the Galaxy,774176600,121,170000000,8.1,1.1356091665695354,0.009958737214116052,3.5609657666522287,0.03356066233599472,3.1286279528441305,0.020933170131304565,0.4214401529269729,0.4492122712450379,3.4068274997086063,0.029876211642348154,118340,2014-07-30,7.9,19489,54.049,118340,2014-07-30,7.9,19489,54.049,118340,2014-07-30,7.9,19489,54.049
Black Panther,1347071259,134,200000000,7.3,1.1608553113332616,0.013753070305008388,5.461748902138642,0.04705477235390074,6.752482440065247,0.03359444000032461,-0.11610481314381826,2.876960330919979,4.185523348406788,0.049587400179768905,284054,2018-02-13,7.4,13969,36.369,284054,2018-02-13,7.4,13969,36.369,284054,2018-02-13,7.4,13969,36.369
Iron Man 3,1215439994,130,200000000,7.2,3.106730031200803,0.006837677613047014,5.2030829574713255,0.013578320403163596,3.530358046849167,0.006953053429785579,1.7953759273331613,0.6199796681762195,6.946859537505039,0.015289511951001627,68721,2013-04-18,6.9,15288,25.265,68721,2013-04-18,6.9,15288,25.265,68721,2013-04-18,6.9,15288,25.265
The Incredible Hulk,263427551,112,150000000,6.7,6.061771239801913,0.0009311656159561033,9.073092377519341,0.03252795813645977,9.073092377519341,0.03252795813645977,,,8.572639099331036,0.0013168670429006182,1724,2008-06-12,6.2,6991,22.082,1724,2008-06-12,6.2,6991,22.082,1724,2008-06-12,6.2,6991,22.082
Captain Marvel,1126318317,123,152000000,7.1,0.860828197539187,0.0026941138352836245,0.4379937028793519,-0.0026692751229342076,-0.02548495925942995,-0.001061873302476248,2.8264863310168074,-0.664545026638383,3.1037602055927827,0.009713765575052052,299537,2019-03-06,7.0,8046,48.862,299537,2019-03-06,7.0,8046,48.862,299537,2019-03-06,7.0,8046,48.862
Iron Man,585174222,126,140000000,7.9,0.7486826793087198,0.038562809264047274,7.666911789469204,0.07660451051431107,8.245170762953189,0.07587556207380429,-1.6076434583254444,0.049105292572766135,1.2967564393094988,0.06679274492791766,1726,2008-04-30,7.6,17181,38.256,1726,2008-04-30,7.6,17181,38.256,1726,2008-04-30,7.6,17181,38.256
Captain America: Civil War,1153304495,147,250000000,7.8,8.213266152696477,0.013563235135760899,12.120093426584054,0.037549870725098654,5.01294985470459,0.04444978454578486,2.106036266540139,-0.46176105260333483,21.730259691619132,0.03588494714271672,271110,2016-04-27,7.4,15214,33.953,271110,2016-04-27,7.4,15214,33.953,271110,2016-04-27,7.4,15214,33.953
Spider-Man: Far from Home,1131927996,129,160000000,7.6,5.76064150773218,0.014568311331597085,6.986037025484419,0.03215131905927984,0.4791747840399865,0.021031578148451382,2.9274774347757964,0.8228898306057204,17.28192452319654,0.04370493399479126,429617,2019-06-28,7.6,5644,57.92,429617,2019-06-28,7.6,5644,57.92,429617,2019-06-28,7.6,5644,57.92
Avengers: Infinity War,2048709917,149,321000000,8.5,0.7012353019013571,0.005647938408510162,1.055281244088726,0.016933717187418533,0.2599792378590077,0.012862581973675895,3.123656317738879,0.5510837929493414,2.5283398371708135,0.020363931532545867,299536,2018-04-25,8.3,16345,80.464,299536,2018-04-25,8.3,16345,80.464,299536,2018-04-25,8.3,16345,80.464
